order_id,order_timestamp,order_month,year_month,order_year,order_month_num,order_quarter,kota,provinsi,courier,service_type,payment_method,payment_category,total_payment,discount_amount,shipping_paid_by_buyer,estimated_shipping_cost,total_qty,total_weight_gr,total_returned_qty,has_discount,is_high_value,customer_id
ORD_0000001,2024-04-01 00:15:00,2024-04-01,2024-04,2024,4,2,KOTA SERANG,BANTEN,Reguler (Cashless),SPX Standard,Saldo ShopeePay,Digital,38300.0,0.0,0.0,10000.0,2,2000,0,0,0,07d716259ed05257f301
ORD_0000002,2024-04-01 01:47:00,2024-04-01,2024-04,2024,4,2,KOTA SEMARANG,JAWA TENGAH,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,18576.0,0.0,0.0,14500.0,1,500,0,0,0,c053b4f2c04d1fa9c732
ORD_0000003,2024-04-01 04:25:00,2024-04-01,2024-04,2024,4,2,KAB. BOGOR,JAWA BARAT,Hemat Kargo,SPX Hemat,SeaBank Bayar Instan,Digital,7069.0,0.0,0.0,8000.0,1,500,0,0,0,f6e4a822295e1ea262a0
ORD_0000004,2024-04-01 04:41:00,2024-04-01,2024-04,2024,4,2,KOTA JAMBI,JAMBI,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,32200.0,0.0,0.0,20000.0,2,400,0,0,0,01d4f76d6aa1027cbc3c
ORD_0000006,2024-04-01 07:09:00,2024-04-01,2024-04,2024,4,2,KAB. BANDUNG,JAWA BARAT,Hemat Kargo,SPX Hemat,SPayLater,Digital,40996.0,0.0,0.0,10000.0,2,1000,0,0,0,762b0af5ce542722e5d7
ORD_0000008,2024-04-01 07:33:00,2024-04-01,2024-04,2024,4,2,KAB. BOGOR,JAWA BARAT,Hemat Kargo,SPX Hemat,Online Payment,Digital,18280.0,0.0,0.0,8000.0,1,500,0,0,0,f6e4a822295e1ea262a0
ORD_0000010,2024-04-01 08:27:00,2024-04-01,2024-04,2024,4,2,KAB. TEGAL,JAWA TENGAH,Hemat Kargo,SPX Hemat,Online Payment,Digital,92800.0,0.0,13000.0,33000.0,6,12900,0,0,0,64c5425411e6ca5a55b1
ORD_0000013,2024-04-01 10:26:00,2024-04-01,2024-04,2024,4,2,KAB. PANDEGLANG,BANTEN,Reguler (Cashless),SPX Standard,COD (Bayar di Tempat),Digital,32200.0,0.0,0.0,16000.0,1,1200,0,0,0,c92b287acafcd9852dc6
ORD_0000014,2024-04-01 10:54:00,2024-04-01,2024-04,2024,4,2,KOTA BEKASI,JAWA BARAT,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,30000.0,0.0,0.0,8000.0,2,400,0,0,0,cdfb8215683d5c8d9d68
ORD_0000016,2024-04-01 12:41:00,2024-04-01,2024-04,2024,4,2,KAB. BEKASI,JAWA BARAT,Hemat Kargo,SPX Hemat,Saldo ShopeePay,Digital,24000.0,0.0,0.0,8000.0,1,500,0,0,0,5310710069cad640cdbd
ORD_0000017,2024-04-01 12:44:00,2024-04-01,2024-04,2024,4,2,KOTA DEPOK,JAWA BARAT,Hemat Kargo,SPX Hemat,Saldo ShopeePay,Digital,20800.0,0.0,0.0,8000.0,1,500,0,0,0,1c4e1f950f7ee418f95f
ORD_0000018,2024-04-01 12:51:00,2024-04-01,2024-04,2024,4,2,KOTA TANGERANG,BANTEN,Instant (Versi Lama),SPX Instant (Versi Lama),Saldo ShopeePay,Digital,124000.0,0.0,23000.0,43000.0,1,7000,0,0,0,ac5e2997e9bf5f871ae1
ORD_0000019,2024-04-01 13:07:00,2024-04-01,2024-04,2024,4,2,KAB. LAMPUNG UTARA,LAMPUNG,Agen SPX Express,,COD (Bayar di Tempat),Digital,35112.0,0.0,3000.0,23000.0,2,1200,0,0,0,6486d47335462c347886
ORD_0000020,2024-04-01 13:46:00,2024-04-01,2024-04,2024,4,2,KAB. TANGERANG,BANTEN,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,14187.0,0.0,0.0,8000.0,2,800,0,0,0,cc9b6834f66a5717a553
ORD_0000021,2024-04-01 13:51:00,2024-04-01,2024-04,2024,4,2,KAB. SUBANG,JAWA BARAT,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,79000.0,0.0,0.0,15000.0,5,2000,0,0,0,c136259aa2c342bafcc3
ORD_0000023,2024-04-01 14:01:00,2024-04-01,2024-04,2024,4,2,KOTA BENGKULU,BENGKULU,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,72760.0,0.0,4000.0,44000.0,1,1700,0,0,0,807612f8937d31d298a6
ORD_0000024,2024-04-01 14:53:00,2024-04-01,2024-04,2024,4,2,KOTA JAKARTA TIMUR,DKI JAKARTA,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,6200.0,0.0,0.0,8000.0,1,200,0,0,0,b3bf3966cc2baefec3f6
ORD_0000025,2024-04-01 15:25:00,2024-04-01,2024-04,2024,4,2,KAB. SUBANG,JAWA BARAT,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,134640.0,0.0,31000.0,51000.0,15,3000,0,0,0,c136259aa2c342bafcc3
ORD_0000026,2024-04-01 15:27:00,2024-04-01,2024-04,2024,4,2,KAB. LAMPUNG TIMUR,LAMPUNG,Agen SPX Express,,COD (Bayar di Tempat),Digital,163240.0,0.0,6000.0,46000.0,10,2000,0,0,0,8cd0cdeb3eda40fecec5
ORD_0000027,2024-04-01 15:52:00,2024-04-01,2024-04,2024,4,2,KOTA TANGERANG,BANTEN,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,42600.0,0.0,0.0,8000.0,1,1200,0,0,0,ac5e2997e9bf5f871ae1
ORD_0000028,2024-04-01 16:09:00,2024-04-01,2024-04,2024,4,2,KAB. TANGERANG,BANTEN,Hemat Kargo,SPX Hemat,Saldo ShopeePay,Digital,11000.0,0.0,0.0,8000.0,1,300,0,0,0,cc9b6834f66a5717a553
ORD_0000029,2024-04-01 19:31:00,2024-04-01,2024-04,2024,4,2,KAB. BEKASI,JAWA BARAT,Hemat Kargo,SPX Hemat,Online Payment,Digital,20000.0,0.0,0.0,8000.0,2,600,0,0,0,5310710069cad640cdbd
ORD_0000030,2024-04-01 20:41:00,2024-04-01,2024-04,2024,4,2,KAB. TANGERANG,BANTEN,Reguler (Cashless),SPX Standard,Saldo ShopeePay,Digital,18000.0,0.0,0.0,9500.0,1,500,0,0,0,cc9b6834f66a5717a553
ORD_0000031,2024-04-01 21:23:00,2024-04-01,2024-04,2024,4,2,KAB. KEBUMEN,JAWA TENGAH,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,33000.0,0.0,18000.0,18000.0,1,200,0,0,0,369ff364c0f96b35adc4
ORD_0000033,2024-04-02 03:05:00,2024-04-01,2024-04,2024,4,2,KAB. LUMAJANG,JAWA TIMUR,Reguler (Cashless),SPX Standard,Kartu Kredit/Debit,Digital,68500.0,0.0,0.0,19000.0,6,1200,0,0,0,6191c9ef7816b671e0ba
ORD_0000034,2024-04-02 05:47:00,2024-04-01,2024-04,2024,4,2,KAB. KARAWANG,JAWA BARAT,Hemat Kargo,SPX Hemat,COD (Bayar di Tempat),Digital,27000.0,0.0,10000.0,10000.0,1,500,0,0,0,3a89cbf3a15ed104771a
