"customer_id"|"kota"|"provinsi"|"recency_days"|"frequency"|"monetary"|"avg_order_value"|"total_items_purchased"|"first_order_date"|"last_order_date"|"r_score"|"f_score"|"m_score"|"rfm_total"|"segment"
"d977239959d5ee8b7c38"|"KOTA SUNGAIPENUH"|"JAMBI"|612|1|"20500"|"20500"|1|"2024-03-25"|"2024-03-25"|1|1|1|3|"Lost"
"8c9d6b0e9291c8d76c0a"|"KAB. KEPULAUAN SIAU TAGULANDANG BIARO (SITARO)"|"SULAWESI UTARA"|598|1|"98239"|"98239"|1|"2024-04-08"|"2024-04-08"|1|1|1|3|"Lost"
"43b58b1d551ab161955d"|"KOTA PEMATANG SIANTAR"|"SUMATERA UTARA"|508|2|"114852"|"57426"|8|"2024-03-03"|"2024-07-07"|1|1|1|3|"Lost"
"01b77902cd512a1852ed"|"KAB. TAKALAR"|"SULAWESI SELATAN"|505|1|"32200"|"32200"|2|"2024-07-10"|"2024-07-10"|1|1|1|3|"Lost"
"c77da863cda5786e75cf"|"KOTA BINJAI"|"SUMATERA UTARA"|495|2|"189200"|"94600"|2|"2024-05-12"|"2024-07-20"|1|1|1|3|"Lost"
"6cb4091151a4378d0f46"|"KAB. MELAWI"|"KALIMANTAN BARAT"|492|1|"54144"|"54144"|3|"2024-07-23"|"2024-07-23"|1|1|1|3|"Lost"
"da7120e70cfbcd30f556"|"KAB. SOPPENG"|"SULAWESI SELATAN"|492|3|"185000"|"61667"|5|"2024-05-05"|"2024-07-23"|1|1|1|3|"Lost"
"1104697da5d9a4da70d6"|"KAB. KONAWE SELATAN"|"SULAWESI TENGGARA"|490|2|"288456"|"144228"|4|"2024-06-08"|"2024-07-25"|1|1|2|4|"Hibernating"
"6cb2f6b37b792b8ddd78"|"KAB. HALMAHERA UTARA"|"MALUKU UTARA"|483|1|"693860"|"693860"|12|"2024-08-01"|"2024-08-01"|1|1|3|5|"Hibernating"
"beed5e3adfb5fca4f694"|"KAB. GUNUNG MAS"|"KALIMANTAN TENGAH"|471|1|"67660"|"67660"|3|"2024-08-13"|"2024-08-13"|1|1|1|3|"Lost"
"77549a54646b6f348050"|"KAB. KATINGAN"|"KALIMANTAN TENGAH"|456|3|"349194"|"116398"|16|"2024-04-18"|"2024-08-28"|1|1|2|4|"Hibernating"
"b2529a1311da4baf5229"|"KAB. KONAWE UTARA"|"SULAWESI TENGGARA"|455|1|"114348"|"114348"|1|"2024-08-29"|"2024-08-29"|1|1|1|3|"Lost"
"28d5f67d9bc2e7969f4a"|"KAB. HALMAHERA TIMUR"|"MALUKU UTARA"|453|1|"166240"|"166240"|1|"2024-08-31"|"2024-08-31"|1|1|1|3|"Lost"
"00a8ae2561a0987b3a63"|"KAB. PENAJAM PASER UTARA"|"KALIMANTAN TIMUR"|446|1|"60000"|"60000"|4|"2024-09-07"|"2024-09-07"|1|1|1|3|"Lost"
"abe05a5aa43a7c37d5e6"|"KAB. ACEH BARAT DAYA"|"NANGGROE ACEH DARUSSALAM (NAD)"|444|1|"87190"|"87190"|1|"2024-09-09"|"2024-09-09"|1|1|1|3|"Lost"
"10562be6cbf13a13fdae"|"KAB. MAMUJU TENGAH"|"SULAWESI BARAT"|437|1|"195130"|"195130"|1|"2024-09-16"|"2024-09-16"|1|1|2|4|"Hibernating"
"fda569f6d31a6b6928f0"|"KOTA PALU"|"SULAWESI TENGAH"|435|3|"226685"|"75562"|5|"2024-03-14"|"2024-09-18"|1|2|2|5|"Hibernating"
"3d37fbdec55f995c5a3c"|"KAB. BULUNGAN (BULONGAN)"|"KALIMANTAN UTARA"|428|1|"165944"|"165944"|1|"2024-09-25"|"2024-09-25"|1|1|1|3|"Lost"
"59510c833c6aab6758af"|"KAB. KARANGASEM"|"BALI"|426|4|"199650"|"49913"|8|"2024-06-06"|"2024-09-27"|1|2|2|5|"Hibernating"
"2b24e93d5863a0c35778"|"KOTA SIBOLGA"|"SUMATERA UTARA"|416|1|"16900"|"16900"|1|"2024-10-07"|"2024-10-07"|1|1|1|3|"Lost"
